time0,amp0,time1,amp1,time2,amp2
0,422.8,0,421.9,0,428.3
0,432.4,0,425.7,0,430.6
1000,432.4,1000,431.2,1000,430.6
2000,432.4,1000,431.3,2000,430.6
2000,432.4,2000,431.3,2000,430.6
3000,432.5,3000,431.3,3000,430.7
3000,432.5,3000,431.3,3000,430.8
4000,432.5,4000,431.4,4000,430.7
4000,432.6,4000,431.5,5000,428.8
5000,432.6,5000,431.4,5000,431.5
6000,432.5,5000,431.4,6000,431.5
6000,432.6,6000,431.4,6000,431.5
7000,432.6,7000,431.5,7000,431.4
7000,432.6,7000,431.5,7000,431.4
8000,432.5,8000,431.5,8000,431.5
9000,432.5,8000,431.5,9000,431.5
9000,432.5,9000,431.4,9000,431.5
10000,432.6,10000,431.4,10000,431.5
10000,432.7,10000,431.5,10000,431.5
11000,432.6,11000,431.5,11000,431.5
12000,432.5,11000,431.5,12000,431.5
12000,432.4,12000,431.5,12000,431.5
13000,432.4,13000,431.6,13000,431.5
13000,432.5,13000,431.6,13000,431.5
14000,432.5,14000,431.6,14000,431.5
15000,432.5,14000,431.6,15000,431.5
15000,432.5,15000,431.7,15000,431.5
16000,432.5,15000,431.6,16000,431.5
16000,432.4,16000,431.7,16000,431.5
17000,432.4,17000,431.7,17000,431.5
18000,432.4,17000,431.6,18000,431.5
18000,432.4,18000,431.6,18000,431.5
19000,432.4,18000,431.6,19000,431.4
20000,432.5,19000,431.7,19000,431.4
20000,432.5,20000,431.7,20000,431.5
21000,432.5,20000,431.6,20000,431.5
21000,432.5,21000,428.2,21000,431.5
22000,432.5,21000,431.5,22000,431.5
23000,432.5,22000,431.5,22000,431.5
23000,432.4,23000,431.5,23000,431.5
24000,432.4,23000,431.4,23000,431.5
24000,432.4,24000,431.4,24000,431.5
25000,432.3,24000,431.5,24000,431.5
26000,432.3,25000,431.5,25000,431.5
26000,432.3,26000,431.5,26000,431.5
27000,432.5,26000,431.5,26000,431.5
27000,432.5,27000,431.5,27000,431.5
28000,432.4,27000,431.5,27000,431.5
29000,432.4,28000,431.4,28000,431.5
29000,432.4,29000,431.4,29000,431.5
30000,432.5,29000,431.4,29000,431.5
30000,432.5,30000,431.5,30000,431.5
31000,432.5,30000,431.4,30000,431.5
32000,432.5,31000,431.3,31000,431.5
32000,432.6,32000,431.4,32000,431.5
33000,433.0,32000,431.4,32000,431.5
33000,432.9,33000,431.4,33000,431.5
34000,432.8,33000,431.3,33000,431.5
35000,432.7,34000,431.2,34000,431.5
35000,432.6,35000,431.2,35000,431.5
36000,432.5,35000,431.1,35000,431.5
37000,432.5,36000,431.1,36000,431.5
37000,432.5,36000,431.2,36000,431.5
38000,432.6,37000,431.2,37000,431.5
38000,432.5,38000,431.2,38000,431.5
39000,432.5,38000,431.3,38000,431.5
40000,432.6,39000,431.2,39000,431.5
40000,432.6,39000,431.3,39000,431.5
41000,432.7,40000,431.3,40000,431.5
41000,432.7,40000,431.3,41000,431.5
42000,432.6,41000,431.2,41000,431.5
42000,432.5,42000,431.7,42000,431.5
43000,430.9,42000,431.5,42000,431.5
44000,432.8,43000,431.4,43000,431.5
44000,432.4,43000,431.4,44000,431.5
45000,429.3,44000,431.4,44000,431.4
46000,432.8,45000,431.4,45000,431.3
46000,432.8,45000,431.4,45000,431.2
47000,432.8,46000,431.4,46000,431.1
47000,432.9,46000,431.4,47000,431.1
48000,429.2,47000,431.5,47000,431.1
49000,432.6,48000,431.5,48000,431.1
49000,432.8,48000,431.5,48000,431.1
50000,432.9,49000,431.5,49000,431.3
50000,432.9,49000,431.7,50000,431.5
51000,432.9,50000,431.8,50000,431.5
52000,433.0,50000,431.7,51000,431.5
52000,433.0,51000,431.8,51000,431.5
53000,433.0,52000,431.7,52000,431.5
53000,433.0,52000,431.7,52000,431.4
54000,433.0,53000,431.7,53000,431.4
55000,433.1,53000,431.6,53000,431.4
55000,433.1,54000,431.6,54000,431.4
56000,433.1,55000,431.6,55000,431.4
56000,433.2,55000,431.6,55000,431.4
57000,433.1,56000,431.7,56000,431.5
57000,433.0,56000,431.7,56000,431.5
58000,432.9,57000,431.7,57000,431.5
59000,432.9,58000,431.7,57000,431.5
59000,432.9,58000,431.6,58000,431.5
60000,432.9,59000,431.6,59000,431.5
60000,432.9,59000,431.6,59000,431.5
61000,432.9,60000,431.7,60000,431.5
61000,432.9,61000,431.7,60000,431.5
62000,432.9,61000,431.7,61000,431.4
63000,432.9,62000,431.7,62000,431.4
63000,432.9,62000,431.7,62000,431.5
64000,432.9,63000,431.7,63000,431.4
64000,432.9,64000,431.7,63000,431.4
65000,432.9,64000,431.7,64000,431.5
66000,432.9,65000,431.7,65000,431.6
66000,432.9,65000,431.7,65000,429.6
67000,432.9,66000,431.7,66000,431.5
67000,432.9,67000,431.7,66000,431.5
68000,432.9,67000,431.7,67000,431.5
69000,432.9,68000,431.7,67000,431.5
69000,433.0,68000,431.7,68000,431.6
70000,433.0,69000,431.7,69000,431.6
71000,432.9,70000,431.7,69000,431.7
71000,432.8,70000,431.8,70000,431.7
72000,432.8,71000,431.8,70000,431.7
72000,432.8,71000,431.7,71000,431.7
73000,432.8,72000,431.7,72000,431.7
74000,432.8,73000,431.7,72000,431.7
74000,432.7,73000,431.7,73000,431.7
75000,432.8,74000,431.6,73000,431.7
75000,432.8,74000,431.6,74000,431.7
76000,432.8,75000,431.6,74000,431.7
77000,432.8,76000,431.5,75000,431.8
77000,432.8,76000,431.5,76000,431.9
78000,432.8,77000,431.5,76000,431.9
78000,432.8,77000,431.5,77000,431.9
79000,432.8,78000,431.5,78000,431.9
79000,432.8,79000,431.5,78000,431.9
80000,432.9,79000,431.5,79000,431.9
81000,432.9,80000,431.5,79000,431.9
81000,432.8,80000,431.6,80000,431.9
82000,432.8,81000,428.3,80000,431.9
82000,432.9,81000,431.5,81000,431.9
83000,432.9,82000,431.5,82000,431.9
84000,432.8,83000,431.5,82000,431.9
84000,432.8,83000,431.5,83000,431.9
85000,432.8,84000,431.5,83000,431.9
85000,432.8,84000,431.5,84000,431.9
86000,432.8,85000,431.5,85000,431.9
87000,432.8,86000,431.5,85000,431.9
87000,432.7,86000,431.5,86000,431.9
88000,432.7,87000,431.5,86000,431.9
88000,432.7,87000,431.5,87000,431.9
89000,432.7,88000,431.5,88000,431.9
90000,432.8,89000,431.5,88000,431.9
90000,432.8,89000,431.5,89000,431.9
91000,432.8,90000,431.5,90000,432.0
91000,432.8,90000,431.5,90000,431.9
92000,432.8,91000,431.5,91000,431.9
93000,429.5,92000,431.5,91000,431.9
93000,432.9,92000,431.5,92000,431.9
94000,433.0,93000,431.5,93000,432.0
94000,433.0,93000,431.5,93000,431.9
95000,433.0,94000,431.5,94000,431.9
96000,433.0,94000,431.5,94000,431.9
96000,433.0,95000,431.5,95000,431.9
97000,433.0,96000,431.5,95000,431.9
97000,432.9,96000,431.5,96000,431.9
98000,432.8,97000,431.5,97000,431.9
99000,432.8,98000,431.4,97000,431.8
99000,432.8,98000,431.3,98000,431.7
100000,432.7,99000,431.3,99000,431.6
100000,430.7,99000,431.3,99000,431.7
101000,432.5,100000,431.3,100000,431.7
101000,432.5,101000,431.2,100000,431.7
102000,432.5,101000,431.3,101000,431.7
103000,432.5,102000,431.4,102000,431.7
103000,432.5,102000,431.8,102000,431.7
104000,432.5,103000,431.7,103000,431.7
104000,432.5,103000,431.7,103000,431.7
105000,432.4,104000,431.7,104000,431.7
105000,432.5,105000,431.7,105000,431.5
106000,432.5,105000,431.7,105000,431.4
107000,432.5,106000,431.7,106000,431.5
107000,432.4,106000,431.6,106000,431.5
108000,432.4,107000,431.6,107000,431.5
108000,432.4,108000,431.6,107000,431.5
109000,432.4,108000,431.6,108000,431.5
110000,432.4,109000,431.6,109000,431.5
110000,432.4,109000,431.6,109000,431.5
111000,432.4,110000,431.7,110000,431.5
111000,432.4,111000,431.6,110000,431.5
112000,432.4,111000,431.3,111000,431.4
113000,432.4,112000,431.3,112000,431.4
113000,432.4,112000,431.3,112000,431.5
114000,432.4,113000,431.3,113000,431.5
114000,432.4,114000,431.3,113000,431.5
115000,432.4,114000,431.3,114000,431.5
116000,432.4,115000,431.3,115000,431.5
116000,432.4,115000,431.3,115000,431.5
117000,432.4,116000,431.3,116000,431.5
117000,432.4,117000,431.3,116000,431.5
118000,432.4,117000,431.3,117000,431.5
118000,432.4,118000,431.3,118000,431.5
119000,432.4,118000,431.3,118000,431.5
120000,432.4,119000,431.3,119000,431.5
120000,432.4,120000,431.3,119000,431.5
121000,432.4,120000,431.3,120000,431.5
121000,432.4,121000,431.3,121000,431.5
122000,432.4,121000,431.4,121000,431.5
123000,432.4,122000,431.4,122000,431.5
123000,432.4,122000,431.4,122000,431.5
124000,432.4,123000,431.4,123000,431.5
124000,432.4,124000,431.4,124000,431.5
125000,432.4,124000,431.4,124000,431.5
126000,432.4,125000,431.4,125000,428.3
126000,432.4,125000,431.3,126000,431.6
127000,432.4,126000,431.3,126000,431.6
127000,432.4,127000,431.3,127000,431.5
128000,432.4,127000,431.4,127000,431.5
129000,432.4,128000,431.4,128000,431.5
129000,432.3,128000,431.4,129000,431.5
130000,432.3,129000,431.4,129000,431.5
130000,429.5,130000,431.3,130000,431.6
131000,432.4,130000,431.3,130000,431.7
132000,432.4,131000,431.3,131000,431.7
132000,432.4,132000,431.3,131000,431.7
133000,432.3,132000,431.3,132000,431.7
133000,432.3,133000,431.3,133000,431.7
134000,432.3,133000,431.3,133000,431.7
134000,432.4,134000,431.3,134000,431.6
135000,432.3,134000,431.3,134000,431.6
136000,432.3,135000,431.3,135000,431.5
136000,432.3,136000,431.4,136000,431.4
137000,432.3,136000,431.4,136000,431.5
137000,432.4,137000,431.4,137000,431.5
138000,432.3,137000,431.4,137000,431.4
139000,432.3,138000,431.4,138000,431.5
139000,432.4,139000,431.3,139000,431.5
140000,432.3,139000,431.3,139000,431.5
140000,432.3,140000,431.3,140000,431.5
141000,432.4,140000,431.4,140000,431.5
142000,432.3,141000,431.4,141000,431.5
142000,432.3,142000,431.4,141000,431.5
143000,432.3,142000,431.3,142000,431.5
143000,432.3,143000,431.3,143000,431.5
144000,432.3,143000,431.3,143000,431.5
145000,432.3,144000,431.3,144000,431.5
,,145000,431.3,144000,431.5
