time0,amp0,time1,amp1,time2,amp2
0,421.3,0,421.5,0,421.3
0,433.1,1000,434.2,0,434.3
1000,433.2,1000,434.2,1000,434.3
1000,433.3,2000,434.2,1000,434.3
2000,433.3,2000,434.2,2000,434.4
3000,433.3,3000,434.2,2000,434.4
3000,433.3,3000,434.3,3000,434.4
4000,433.3,4000,434.4,4000,434.4
4000,433.4,5000,434.4,4000,434.4
5000,433.4,5000,434.4,5000,434.4
6000,433.4,6000,434.4,5000,434.5
6000,433.4,7000,434.4,6000,434.4
7000,433.5,7000,434.3,7000,434.3
7000,433.5,8000,434.3,7000,434.4
8000,433.5,8000,434.3,8000,434.4
8000,433.5,9000,434.4,8000,434.4
9000,433.5,9000,434.4,9000,434.4
10000,433.5,10000,434.5,10000,434.4
10000,433.5,11000,434.6,10000,434.4
11000,433.5,11000,434.7,11000,434.4
11000,433.5,12000,434.7,11000,434.4
12000,433.6,13000,434.7,12000,434.4
13000,433.6,13000,433.7,13000,434.4
13000,433.6,14000,434.7,13000,434.4
14000,433.6,14000,434.7,14000,434.4
14000,433.5,15000,434.7,14000,434.4
15000,433.5,16000,434.7,15000,434.5
15000,433.5,16000,434.7,15000,434.4
16000,433.6,17000,434.7,16000,434.4
17000,433.6,17000,434.7,17000,434.4
17000,433.6,18000,434.7,17000,434.4
18000,433.7,18000,434.7,18000,434.4
18000,433.7,19000,434.7,18000,434.4
19000,433.7,20000,434.7,19000,434.4
20000,433.7,20000,434.7,20000,434.4
20000,433.7,21000,434.8,20000,434.5
21000,433.7,21000,434.8,21000,434.5
21000,433.7,22000,434.7,21000,434.5
22000,433.8,23000,434.7,22000,434.5
23000,433.8,23000,434.8,23000,434.4
23000,433.8,24000,434.8,23000,434.4
24000,433.9,25000,434.8,24000,434.4
24000,433.9,25000,434.7,25000,434.5
25000,433.8,26000,434.7,25000,434.5
26000,433.8,26000,434.8,26000,434.7
26000,433.8,27000,434.8,26000,434.6
27000,433.8,28000,434.8,27000,434.5
27000,433.8,28000,434.8,28000,434.5
28000,433.8,29000,434.7,28000,434.5
29000,433.9,29000,434.7,29000,434.5
29000,433.9,30000,434.7,29000,434.6
30000,433.8,31000,434.7,30000,434.6
30000,433.9,31000,434.8,30000,434.5
31000,433.9,32000,434.8,31000,434.5
31000,433.8,33000,434.7,32000,434.5
32000,433.8,33000,434.7,32000,434.6
33000,433.8,34000,434.8,33000,434.6
33000,433.8,34000,434.7,33000,434.6
34000,433.8,35000,432.0,34000,434.6
34000,433.8,35000,434.8,35000,434.5
35000,433.8,36000,434.8,35000,433.1
36000,433.8,37000,434.8,36000,434.6
36000,433.9,37000,434.8,36000,434.6
37000,433.9,38000,434.8,37000,434.6
37000,433.8,39000,434.8,38000,434.6
38000,433.8,39000,434.8,38000,434.6
39000,433.8,40000,434.9,39000,434.6
39000,433.8,40000,434.8,39000,434.5
40000,433.8,41000,434.8,40000,434.5
40000,433.8,42000,434.8,41000,434.5
41000,433.8,42000,434.8,41000,434.5
41000,433.8,43000,434.8,42000,434.5
42000,433.8,43000,434.8,42000,434.6
43000,433.9,44000,434.7,43000,434.6
43000,433.9,45000,434.7,44000,434.6
44000,434.1,45000,434.7,44000,434.6
44000,433.9,46000,434.6,45000,434.6
45000,433.8,46000,434.6,45000,434.6
46000,433.7,47000,434.6,46000,434.5
46000,433.7,48000,434.7,47000,434.4
47000,433.7,48000,434.7,47000,434.5
47000,433.7,49000,434.7,48000,434.5
48000,433.7,49000,434.9,48000,434.6
49000,433.8,50000,435.0,49000,434.8
49000,434.0,51000,435.0,50000,434.9
50000,434.1,51000,434.0,50000,434.9
50000,434.1,52000,434.4,51000,434.9
51000,434.2,52000,434.9,51000,434.9
52000,434.2,53000,434.9,52000,435.0
52000,434.2,54000,434.9,53000,435.0
53000,434.2,54000,434.9,53000,435.0
53000,434.2,55000,434.9,54000,435.1
54000,434.2,55000,434.9,54000,435.1
55000,434.2,56000,434.9,55000,435.0
55000,434.2,57000,434.8,55000,435.0
56000,434.2,57000,431.5,56000,435.0
56000,434.2,58000,434.9,57000,435.0
57000,434.2,58000,434.9,57000,435.1
58000,434.2,59000,435.0,58000,435.1
58000,434.2,60000,435.0,58000,435.0
59000,434.2,60000,435.1,59000,435.1
59000,434.1,61000,435.1,60000,435.1
60000,434.1,61000,435.1,60000,435.1
61000,434.2,62000,435.1,61000,435.1
61000,434.2,62000,435.1,61000,435.1
62000,434.2,63000,435.1,62000,435.0
62000,434.2,64000,435.0,63000,435.0
63000,434.2,64000,435.0,63000,435.0
64000,434.2,65000,435.0,64000,435.0
64000,434.2,65000,435.0,64000,435.0
65000,434.2,66000,435.1,65000,435.0
66000,434.2,67000,435.1,65000,434.9
66000,434.2,67000,435.1,66000,434.9
67000,434.2,68000,435.1,67000,434.9
67000,434.2,68000,435.1,67000,434.9
68000,434.2,69000,435.1,68000,434.9
68000,434.2,69000,435.1,68000,434.9
69000,434.2,70000,435.0,69000,434.9
70000,431.3,71000,435.0,70000,434.9
70000,434.6,71000,435.1,70000,435.0
71000,434.5,72000,435.1,71000,435.0
72000,434.5,72000,435.1,71000,435.0
72000,434.5,73000,435.1,72000,434.9
73000,434.5,73000,435.1,73000,434.9
73000,434.6,74000,435.3,73000,434.9
74000,434.6,75000,435.4,74000,434.9
74000,434.7,75000,435.3,74000,434.9
75000,434.6,76000,435.3,75000,434.8
76000,434.6,77000,435.2,76000,434.8
76000,434.7,77000,435.3,76000,434.8
77000,434.7,78000,435.3,77000,434.8
77000,434.7,78000,435.3,77000,434.8
78000,434.7,79000,435.3,78000,434.8
79000,434.7,80000,435.4,79000,434.9
79000,434.6,80000,435.4,79000,434.8
80000,434.6,81000,435.3,80000,434.8
80000,434.6,81000,435.3,80000,434.8
81000,434.6,82000,435.3,81000,434.8
82000,433.0,83000,435.2,82000,434.9
82000,434.2,83000,435.3,82000,434.9
83000,434.2,84000,435.3,83000,434.9
83000,434.2,84000,435.3,83000,434.9
84000,434.2,85000,435.3,84000,434.9
85000,434.2,86000,435.2,85000,435.0
85000,434.2,86000,435.3,85000,431.7
86000,434.2,87000,435.3,86000,435.0
87000,434.2,87000,435.3,86000,435.0
87000,434.2,88000,435.3,87000,435.1
88000,434.1,89000,435.3,88000,435.2
88000,434.1,89000,435.3,88000,435.2
89000,434.1,90000,435.3,89000,435.2
89000,434.1,90000,435.3,89000,435.2
90000,434.2,91000,435.3,90000,435.2
91000,434.2,92000,435.3,90000,435.2
91000,434.2,92000,435.3,91000,435.2
92000,434.2,93000,435.3,92000,435.2
93000,434.2,93000,435.3,92000,435.2
93000,434.2,94000,435.3,93000,435.2
94000,434.1,95000,433.3,93000,435.2
94000,434.0,95000,435.1,94000,435.2
95000,434.0,96000,435.1,94000,435.2
95000,434.0,96000,435.1,95000,435.2
96000,433.9,97000,435.1,96000,435.2
97000,434.0,97000,435.1,96000,435.2
97000,434.2,98000,435.1,97000,435.3
98000,434.2,99000,435.2,97000,435.4
98000,434.2,99000,435.1,98000,435.3
99000,434.2,100000,435.1,99000,435.2
100000,434.2,100000,435.1,99000,435.2
100000,434.2,101000,435.1,100000,435.3
101000,434.2,102000,435.2,101000,435.3
101000,434.1,102000,435.1,101000,435.3
102000,434.2,103000,435.1,102000,435.3
103000,434.1,103000,435.2,102000,435.3
103000,434.1,104000,435.3,103000,435.3
104000,434.2,105000,435.3,104000,435.3
104000,434.3,105000,435.2,104000,435.3
105000,434.3,106000,435.3,105000,435.2
105000,434.2,106000,435.2,105000,435.2
106000,434.2,107000,435.3,106000,435.3
107000,434.2,107000,435.3,106000,435.4
107000,434.2,108000,435.3,107000,435.4
108000,434.3,109000,435.2,108000,435.4
108000,434.3,109000,435.2,108000,435.4
