time0,amp0,time1,amp1,time2,amp2
0,442.9,0,421.5,0,438.9
1000,434.2,0,435.1,1000,434.8
1000,434.2,1000,435.1,1000,434.8
2000,434.2,1000,435.1,2000,435.0
2000,434.2,2000,435.1,2000,435.0
3000,432.0,3000,435.1,3000,435.0
4000,434.3,3000,435.1,3000,435.0
4000,434.3,4000,432.8,4000,435.0
5000,432.3,4000,435.3,5000,435.1
5000,434.4,5000,435.3,5000,435.1
6000,432.2,6000,435.2,6000,435.1
7000,434.5,6000,435.2,6000,435.1
7000,434.5,7000,435.2,7000,435.1
8000,434.5,7000,435.2,8000,435.1
8000,434.5,8000,435.2,8000,435.1
9000,434.5,9000,435.3,9000,435.0
10000,434.5,9000,435.3,9000,435.0
10000,434.5,10000,435.3,10000,434.8
11000,434.6,10000,435.3,11000,434.7
11000,433.3,11000,435.3,11000,434.8
12000,435.0,12000,435.3,12000,434.8
13000,434.8,12000,435.3,12000,434.8
13000,434.7,13000,435.3,13000,434.8
14000,434.7,13000,435.4,14000,434.9
14000,434.7,14000,435.4,14000,434.8
15000,434.7,14000,435.4,15000,434.8
15000,434.7,15000,435.3,15000,434.8
16000,434.8,16000,435.4,16000,434.8
17000,434.8,16000,435.4,17000,434.9
17000,434.8,17000,435.4,17000,434.8
18000,434.9,17000,435.4,18000,434.8
18000,434.8,18000,435.4,18000,434.8
19000,434.8,19000,435.4,19000,434.8
20000,434.8,19000,435.3,20000,435.0
20000,434.7,20000,435.5,20000,435.2
21000,434.7,20000,435.7,21000,435.2
21000,434.7,21000,435.7,21000,435.2
22000,434.8,21000,435.7,22000,435.2
23000,434.6,22000,435.7,23000,435.3
23000,432.0,23000,435.6,23000,435.2
24000,434.8,23000,435.6,24000,435.3
24000,434.8,24000,435.7,24000,435.3
25000,434.8,24000,435.7,25000,435.3
26000,434.8,25000,435.7,26000,435.2
26000,434.8,26000,435.7,26000,435.3
27000,434.8,26000,435.7,27000,435.2
27000,434.8,27000,435.6,27000,435.2
28000,432.2,27000,435.7,28000,435.2
29000,434.8,28000,435.6,29000,435.2
29000,434.8,29000,435.6,29000,435.1
30000,434.7,29000,435.7,30000,435.1
30000,434.7,30000,435.7,30000,435.2
31000,434.7,30000,435.7,31000,435.2
32000,434.7,31000,435.7,32000,435.2
32000,434.8,31000,435.7,32000,435.2
33000,434.9,32000,435.7,33000,435.2
33000,432.6,33000,435.6,33000,435.2
34000,434.9,33000,435.7,34000,435.2
34000,434.8,34000,435.8,34000,435.1
35000,434.8,34000,435.8,35000,435.0
36000,434.9,35000,435.8,36000,434.9
36000,431.8,36000,435.8,36000,435.0
37000,434.4,36000,435.8,37000,435.0
38000,434.7,37000,435.8,37000,435.0
38000,434.9,37000,435.9,38000,435.0
39000,435.0,38000,435.9,39000,435.0
39000,434.9,39000,435.8,39000,435.0
40000,431.6,39000,435.8,40000,435.0
41000,434.9,40000,435.5,40000,434.9
41000,435.0,40000,435.3,41000,435.0
42000,435.0,41000,435.5,42000,435.0
42000,435.0,41000,435.5,42000,435.0
43000,435.0,42000,435.4,43000,432.6
43000,435.0,43000,435.5,43000,435.2
44000,435.0,43000,435.4,44000,435.2
45000,435.1,44000,435.4,44000,435.2
45000,435.0,44000,435.4,45000,435.3
46000,435.0,45000,435.4,46000,435.3
46000,435.0,45000,435.4,46000,435.3
47000,435.0,46000,435.5,47000,435.3
48000,435.0,47000,435.4,47000,435.3
48000,432.0,47000,435.4,48000,435.3
49000,431.9,48000,435.4,49000,435.2
49000,434.7,48000,435.2,49000,435.0
50000,434.7,49000,435.0,50000,434.8
51000,434.7,50000,434.8,50000,434.8
51000,434.7,50000,435.0,51000,434.7
52000,434.7,51000,435.0,52000,434.7
52000,434.7,51000,435.0,52000,434.8
53000,434.6,52000,435.0,53000,434.8
54000,434.6,53000,435.0,53000,434.7
54000,434.7,53000,435.0,54000,434.7
55000,434.6,54000,435.0,55000,434.7
55000,434.6,54000,435.0,55000,434.7
56000,434.6,55000,435.0,56000,434.7
57000,434.7,55000,435.0,56000,434.7
57000,434.8,56000,435.0,57000,434.7
58000,434.8,57000,435.0,57000,434.7
58000,434.8,57000,435.1,58000,434.7
59000,434.8,58000,435.0,59000,434.7
60000,434.7,58000,435.0,59000,434.7
60000,434.7,59000,435.1,60000,434.7
61000,431.8,60000,435.1,60000,434.7
