time0,amp0,time1,amp1,time2,amp2
0,421.7,0,421.5,0,421.4
0,435.2,0,435.1,0,434.8
1000,435.2,1000,435.1,1000,434.8
1000,435.3,2000,435.2,2000,434.8
2000,435.4,2000,435.2,2000,434.9
3000,435.4,3000,435.3,3000,435.0
3000,435.4,3000,435.3,3000,435.2
4000,435.5,4000,435.3,4000,435.3
4000,435.4,5000,435.4,5000,435.3
5000,435.4,5000,435.4,5000,435.4
6000,435.4,6000,435.4,6000,435.4
6000,435.5,6000,435.4,6000,435.4
7000,435.4,7000,435.5,7000,435.3
8000,435.5,8000,435.4,8000,435.4
8000,435.5,8000,435.4,8000,435.5
9000,435.5,9000,435.4,9000,435.5
9000,435.5,9000,435.5,9000,434.3
10000,435.5,10000,435.5,10000,435.6
11000,435.5,11000,435.5,10000,435.6
11000,435.5,11000,435.6,11000,435.6
12000,435.5,12000,435.5,12000,435.6
12000,435.5,12000,435.5,12000,435.6
13000,435.5,13000,435.5,13000,435.6
13000,435.5,13000,435.5,13000,435.6
14000,435.5,14000,435.5,14000,435.6
15000,435.5,15000,435.5,15000,435.6
15000,435.5,15000,435.5,15000,435.6
16000,435.5,16000,435.5,16000,435.6
16000,435.5,16000,435.5,16000,435.6
17000,435.6,17000,435.5,17000,435.7
17000,435.6,18000,435.5,18000,435.7
18000,435.6,18000,435.5,18000,435.7
19000,435.6,19000,435.4,19000,435.7
19000,435.6,19000,435.4,19000,435.7
20000,435.6,20000,435.4,20000,435.6
20000,435.6,21000,435.5,21000,435.6
21000,435.6,21000,435.5,21000,435.7
22000,435.6,22000,435.5,22000,435.7
22000,435.6,22000,435.5,22000,435.7
23000,435.7,23000,435.5,23000,435.7
23000,435.5,24000,435.5,24000,435.8
24000,435.4,24000,435.5,24000,435.8
25000,435.3,25000,435.5,25000,435.8
25000,435.2,25000,435.5,25000,435.7
26000,435.2,26000,435.5,26000,435.7
26000,435.2,27000,435.5,26000,435.7
27000,435.3,27000,435.5,27000,435.8
28000,435.3,28000,435.5,28000,435.7
28000,435.2,28000,435.5,28000,435.8
29000,435.2,29000,435.5,29000,435.8
29000,435.3,30000,435.5,30000,435.8
30000,435.2,30000,435.5,30000,435.8
30000,435.2,31000,435.5,31000,435.8
31000,435.2,31000,435.4,31000,435.7
32000,435.2,32000,435.4,32000,435.7
32000,435.2,32000,435.4,32000,435.8
33000,435.3,33000,435.5,33000,435.8
33000,435.3,34000,435.5,34000,435.8
34000,435.3,34000,435.5,34000,435.9
35000,435.3,35000,435.5,35000,435.9
35000,435.2,35000,435.5,36000,435.8
36000,435.2,36000,435.5,36000,435.8
36000,435.3,37000,435.5,37000,435.9
37000,435.3,37000,435.5,37000,435.8
38000,435.3,38000,435.5,38000,435.8
38000,435.3,38000,435.6,39000,435.8
39000,435.3,39000,435.6,39000,435.9
39000,435.3,39000,435.6,40000,435.8
40000,435.4,40000,435.6,40000,435.9
41000,435.4,41000,435.5,41000,435.9
41000,435.4,41000,435.4,42000,435.9
42000,435.4,42000,435.4,42000,435.9
42000,435.4,42000,435.5,43000,435.9
43000,435.4,43000,435.6,43000,435.9
43000,435.4,44000,435.6,44000,436.0
44000,435.4,44000,435.6,45000,435.9
45000,435.4,45000,435.6,45000,435.9
45000,435.4,45000,435.6,46000,435.9
46000,434.0,46000,435.6,46000,436.0
46000,435.6,47000,435.6,47000,436.0
47000,435.6,47000,435.6,48000,436.0
48000,435.6,48000,435.6,48000,436.0
48000,435.6,48000,435.5,49000,435.9
49000,435.5,49000,435.4,49000,435.8
49000,435.4,50000,435.2,50000,435.6
50000,435.3,50000,435.2,50000,435.5
50000,435.3,51000,435.2,51000,435.5
51000,435.3,51000,435.2,52000,435.6
52000,435.4,52000,435.2,52000,435.5
52000,435.4,53000,435.2,53000,435.5
53000,435.3,53000,435.2,53000,435.4
53000,435.3,54000,435.2,54000,435.4
54000,435.3,54000,435.2,54000,435.4
55000,435.3,55000,435.2,55000,435.4
55000,435.3,55000,435.2,56000,435.4
56000,435.2,56000,435.2,56000,435.4
56000,435.2,57000,435.3,57000,435.4
57000,435.2,57000,435.3,58000,435.4
58000,435.2,58000,435.3,58000,435.4
58000,435.3,58000,435.3,59000,435.4
59000,435.3,59000,435.3,59000,435.5
59000,435.3,60000,435.3,60000,435.5
60000,435.3,60000,435.4,60000,435.4
61000,435.2,61000,435.4,61000,435.4
61000,435.2,61000,435.3,62000,435.5
62000,435.2,62000,435.4,62000,435.5
62000,435.2,62000,435.4,63000,435.4
63000,435.3,63000,435.4,63000,435.5
63000,435.3,64000,435.3,64000,435.5
64000,435.3,64000,435.0,65000,435.5
65000,435.2,65000,434.9,65000,435.4
65000,435.3,65000,434.9,66000,435.5
66000,435.3,66000,435.0,66000,435.5
66000,435.3,67000,434.9,67000,435.5
67000,435.3,67000,434.8,68000,435.5
68000,435.1,68000,434.8,68000,435.5
68000,435.0,68000,434.9,69000,435.6
69000,435.0,69000,434.9,69000,435.4
69000,435.1,70000,434.9,70000,432.9
70000,435.1,70000,434.9,71000,435.6
71000,435.1,71000,434.9,71000,435.6
71000,435.1,71000,434.9,72000,435.6
72000,435.0,72000,434.9,72000,435.6
72000,435.0,73000,434.9,73000,435.6
73000,435.0,73000,434.8,74000,435.6
73000,435.0,74000,434.8,74000,435.5
74000,434.9,74000,434.8,75000,435.5
75000,435.0,75000,434.8,75000,435.5
75000,435.0,75000,434.8,76000,435.5
76000,435.0,76000,433.9,77000,435.5
76000,435.0,77000,435.1,77000,435.6
77000,435.0,77000,435.0,78000,435.5
78000,435.0,78000,434.9,78000,435.5
78000,435.0,78000,435.0,79000,435.6
79000,435.1,79000,435.0,80000,435.5
79000,435.1,80000,435.0,80000,432.1
80000,435.1,80000,435.0,81000,435.4
81000,435.0,81000,435.1,81000,435.5
81000,435.0,81000,435.1,82000,435.5
82000,435.0,82000,435.1,82000,435.5
82000,435.0,83000,435.1,83000,435.5
83000,435.0,83000,435.1,84000,435.5
83000,435.0,84000,435.1,84000,435.5
84000,435.1,84000,435.0,85000,435.5
85000,435.1,85000,435.0,85000,435.5
85000,435.0,86000,435.0,86000,435.4
86000,435.0,86000,435.1,87000,435.4
86000,435.0,87000,435.1,87000,435.4
87000,435.0,87000,435.1,88000,435.5
88000,435.0,88000,435.1,88000,435.5
88000,435.0,89000,435.2,89000,435.4
89000,435.0,89000,435.1,90000,435.4
89000,435.0,90000,435.1,90000,435.4
90000,435.0,90000,435.2,91000,435.5
91000,435.0,91000,435.2,91000,435.5
91000,435.0,92000,435.2,92000,435.4
92000,435.0,92000,435.2,93000,435.4
92000,435.0,93000,435.2,93000,435.4
93000,435.0,93000,435.2,94000,435.4
94000,435.0,94000,435.2,94000,435.5
94000,435.0,94000,435.2,95000,435.5
95000,435.1,95000,435.1,95000,435.4
95000,435.1,96000,435.1,96000,435.4
96000,435.1,96000,435.1,97000,435.3
96000,435.1,97000,435.1,97000,435.2
97000,435.1,97000,435.1,98000,435.2
98000,435.0,98000,435.1,98000,435.3
98000,435.0,99000,435.2,99000,435.3
99000,435.0,99000,435.2,99000,435.3
99000,435.0,100000,435.2,100000,435.3
100000,435.0,100000,435.2,101000,435.3
101000,435.1,101000,435.2,101000,435.4
101000,435.1,102000,435.2,102000,435.4
102000,435.1,102000,435.2,102000,435.4
102000,435.1,103000,435.1,103000,435.4
103000,435.0,103000,435.2,104000,435.4
103000,435.0,104000,435.2,104000,435.4
104000,435.0,104000,435.2,105000,435.4
105000,435.0,105000,435.1,105000,435.4
105000,435.0,106000,435.1,106000,435.4
106000,435.1,106000,435.1,107000,435.4
106000,435.1,107000,435.2,107000,435.3
107000,435.2,107000,435.2,108000,435.4
108000,435.3,108000,435.2,108000,435.5
108000,435.3,108000,435.2,109000,435.5
109000,435.3,109000,435.2,110000,435.4
109000,435.3,110000,435.2,110000,435.4
110000,435.3,110000,435.2,111000,435.3
111000,435.3,111000,435.2,111000,435.3
111000,435.4,111000,435.2,112000,435.3
112000,435.3,112000,435.2,113000,435.4
112000,435.4,113000,435.2,113000,435.4
113000,435.4,113000,435.2,114000,435.4
113000,435.3,114000,435.2,114000,435.3
114000,435.4,114000,435.2,115000,435.3
115000,435.4,115000,435.2,115000,435.2
115000,435.4,116000,435.2,116000,435.2
116000,435.4,116000,435.2,117000,435.3
116000,435.3,117000,435.2,117000,435.3
117000,435.3,117000,435.2,118000,435.3
117000,435.3,118000,435.2,118000,435.2
118000,435.4,119000,435.2,119000,435.3
119000,435.3,119000,435.2,120000,435.3
119000,435.3,120000,435.2,120000,435.4
120000,435.3,120000,435.2,121000,435.4
120000,435.4,121000,435.2,121000,435.4
121000,435.4,121000,435.2,122000,435.3
122000,435.3,122000,435.2,123000,435.3
122000,435.3,123000,435.2,123000,435.3
123000,435.3,123000,435.2,124000,435.3
123000,435.4,124000,435.2,124000,435.4
124000,435.3,124000,435.2,125000,435.4
125000,435.3,125000,435.2,126000,435.3
125000,435.3,126000,435.2,126000,435.2
126000,435.3,126000,435.2,127000,435.2
126000,435.3,127000,435.2,127000,435.3
127000,435.2,128000,435.2,128000,435.3
128000,435.3,128000,435.2,129000,435.3
128000,435.4,129000,435.2,129000,435.3
129000,435.3,129000,435.3,130000,435.2
129000,435.3,130000,435.3,130000,435.3
130000,435.3,131000,435.3,131000,435.3
130000,435.3,131000,435.3,132000,435.4
131000,435.3,132000,435.3,132000,435.4
132000,435.3,132000,435.3,133000,435.4
132000,435.3,133000,435.3,133000,435.3
133000,435.2,133000,435.3,134000,435.3
133000,435.2,134000,435.3,135000,435.3
134000,435.2,135000,435.2,135000,435.3
135000,435.3,135000,435.2,136000,435.3
135000,435.3,136000,435.2,136000,435.4
136000,435.3,137000,432.0,137000,435.4
136000,435.2,137000,435.0,138000,435.4
137000,435.1,138000,435.0,138000,435.4
138000,435.1,138000,435.1,139000,435.4
138000,435.1,139000,435.1,139000,435.4
139000,435.1,140000,435.2,140000,434.0
139000,435.2,140000,435.1,140000,435.6
140000,435.2,141000,435.1,141000,435.5
140000,435.2,141000,435.0,142000,435.5
141000,435.1,142000,435.1,142000,435.5
142000,435.1,142000,435.1,143000,435.5
142000,435.1,143000,435.1,143000,435.5
143000,435.1,144000,435.1,144000,435.6
143000,435.1,144000,435.2,145000,435.6
144000,435.1,,,,
144000,435.1,,,,
