time0,amp0,time1,amp1,time2,amp2
0,434.3,0,400.8,0,426.0
1000,433.9,0,433.6,0,434.0
1000,433.8,1000,433.6,1000,434.0
2000,433.6,1000,433.6,2000,434.0
2000,433.7,2000,433.6,2000,434.0
3000,433.5,3000,433.7,3000,433.9
4000,433.5,3000,433.7,3000,433.9
4000,433.6,4000,433.6,4000,433.9
5000,433.6,4000,433.6,5000,434.0
5000,433.6,5000,433.7,5000,433.9
6000,433.7,6000,433.7,6000,433.9
7000,433.8,6000,433.7,7000,434.0
7000,433.7,7000,433.7,7000,434.0
8000,433.7,7000,433.7,8000,434.0
8000,433.8,8000,433.7,8000,434.0
9000,433.8,8000,433.7,9000,434.0
10000,433.8,9000,433.6,9000,434.0
10000,433.8,10000,433.7,10000,434.0
11000,433.8,10000,433.7,11000,434.0
11000,433.8,11000,433.7,11000,434.0
12000,433.8,11000,433.7,12000,434.0
13000,433.9,12000,433.7,13000,433.9
13000,434.0,13000,433.8,13000,433.8
14000,434.1,13000,433.9,14000,433.7
14000,434.0,14000,434.0,14000,433.7
15000,434.1,14000,434.0,15000,433.7
16000,434.2,15000,434.0,16000,433.7
16000,434.1,15000,434.0,16000,433.8
17000,434.0,16000,434.0,17000,433.8
17000,434.0,17000,434.1,17000,433.7
18000,434.0,17000,434.0,18000,433.7
18000,434.0,18000,434.0,19000,433.7
19000,434.0,18000,434.1,19000,433.6
20000,434.1,19000,434.1,20000,433.6
20000,434.1,20000,434.1,20000,433.8
21000,434.1,20000,434.0,21000,433.8
21000,434.1,21000,434.0,22000,433.7
22000,434.1,21000,434.0,22000,433.7
23000,434.1,22000,434.0,23000,433.7
23000,434.0,23000,434.0,23000,433.7
24000,434.0,23000,434.0,24000,433.6
24000,434.0,24000,434.0,25000,433.7
25000,434.1,24000,434.0,25000,433.8
25000,434.1,25000,434.0,26000,433.8
26000,434.1,26000,434.1,26000,433.6
27000,434.1,26000,434.1,27000,433.7
27000,434.1,27000,434.1,28000,433.7
28000,434.1,27000,434.1,28000,433.8
28000,434.1,28000,434.1,29000,433.8
29000,434.1,29000,434.1,29000,433.8
30000,434.1,29000,434.1,30000,433.8
30000,434.1,30000,434.1,30000,433.7
31000,434.1,30000,434.1,31000,433.7
31000,434.1,31000,434.1,32000,433.8
32000,434.1,32000,434.1,32000,433.8
33000,434.1,32000,434.1,33000,433.8
33000,434.1,33000,434.1,34000,433.8
34000,434.1,33000,434.0,34000,433.8
34000,434.1,34000,434.0,35000,433.8
35000,434.1,35000,434.0,35000,433.7
35000,434.1,35000,434.0,36000,433.7
36000,434.1,36000,434.1,36000,433.8
36000,434.1,36000,434.1,37000,433.7
37000,434.0,37000,434.1,38000,433.8
38000,434.1,37000,434.1,38000,433.8
38000,434.2,38000,434.1,39000,433.8
39000,434.2,39000,434.1,39000,433.8
39000,434.1,39000,434.1,40000,433.8
40000,434.1,40000,434.1,40000,433.8
41000,434.1,40000,434.1,41000,433.8
41000,434.1,41000,434.1,42000,433.8
42000,434.1,42000,434.1,42000,433.7
42000,434.1,42000,434.1,43000,433.7
43000,434.0,43000,434.1,43000,433.6
43000,434.0,43000,434.1,44000,433.6
44000,434.0,44000,434.1,44000,433.7
45000,434.0,45000,434.2,45000,433.7
45000,434.0,45000,434.1,46000,433.8
46000,434.1,46000,434.1,46000,433.8
46000,434.0,46000,434.1,47000,433.7
47000,434.0,47000,434.1,47000,433.7
48000,434.0,47000,434.1,48000,433.7
48000,434.1,48000,434.1,49000,433.7
49000,434.1,49000,434.1,49000,433.7
49000,434.0,49000,434.1,50000,433.7
50000,434.1,50000,434.1,50000,433.8
51000,434.1,50000,434.1,51000,433.8
51000,434.2,51000,434.1,52000,433.8
52000,434.1,52000,434.2,52000,433.8
52000,434.1,52000,434.2,53000,433.8
53000,434.2,53000,434.1,53000,433.8
53000,434.2,53000,434.1,54000,432.7
54000,434.1,54000,434.2,55000,433.8
55000,434.1,55000,434.1,55000,433.8
55000,434.1,55000,434.1,56000,433.8
56000,434.1,56000,434.1,56000,433.6
56000,434.1,56000,434.1,57000,433.6
57000,434.1,57000,434.2,58000,433.7
58000,434.2,58000,434.2,58000,433.7
58000,434.2,58000,434.1,59000,433.8
59000,434.1,59000,434.1,59000,433.8
59000,434.1,59000,434.2,60000,433.8
60000,434.2,60000,434.2,61000,433.8
60000,434.2,60000,434.1,61000,433.8
61000,434.2,61000,434.1,62000,433.8
62000,434.1,62000,434.0,62000,433.9
62000,434.1,62000,434.0,63000,433.9
63000,433.1,63000,434.1,63000,433.8
63000,434.1,64000,433.9,64000,433.8
64000,434.1,64000,434.0,65000,433.8
65000,434.2,65000,434.2,65000,433.8
65000,434.2,65000,434.2,66000,433.8
66000,434.2,66000,434.2,66000,433.8
66000,434.2,67000,434.1,67000,433.8
67000,434.2,67000,434.2,68000,433.8
68000,434.2,68000,434.2,68000,433.8
68000,434.2,68000,434.2,69000,433.8
69000,434.2,69000,434.2,69000,433.8
69000,434.3,70000,434.2,70000,433.8
70000,434.3,70000,434.2,70000,433.7
71000,434.2,71000,434.2,71000,433.8
71000,434.3,71000,434.2,72000,433.8
72000,434.3,72000,434.2,72000,433.8
72000,434.3,73000,434.2,73000,433.8
73000,434.3,73000,434.1,73000,433.8
74000,434.2,74000,434.2,74000,433.8
74000,434.2,74000,434.2,75000,433.8
75000,434.2,75000,434.1,75000,433.8
75000,434.3,76000,434.2,76000,433.8
76000,434.3,76000,434.2,76000,433.8
76000,434.3,77000,434.2,77000,433.8
77000,434.3,77000,434.2,77000,433.8
78000,434.3,78000,434.2,78000,433.7
78000,434.3,79000,434.2,79000,433.7
79000,434.2,79000,434.2,79000,433.7
79000,434.2,80000,434.2,80000,433.8
80000,434.2,80000,434.2,80000,433.8
81000,434.2,81000,434.1,81000,433.8
81000,434.3,82000,434.1,82000,433.8
82000,434.3,82000,434.1,82000,433.8
