time0,amp0,time1,amp1,time2,amp2
0,401,0,401,0,401
0,435,0,435,0,436
1000,435,1000,435,1000,436
1000,435,2000,435,1000,436
2000,435,2000,435,2000,436
3000,435,3000,435,3000,436
3000,435,3000,435,3000,436
4000,435,4000,436,4000,436
4000,435,4000,436,4000,435
5000,435,5000,435,5000,435
5000,435,6000,435,5000,436
6000,435,6000,435,6000,436
7000,435,7000,436,7000,436
7000,435,7000,436,7000,436
8000,436,8000,436,8000,436
8000,436,9000,436,8000,436
9000,436,9000,436,9000,436
10000,436,10000,436,9000,436
10000,436,10000,436,10000,436
11000,436,11000,436,11000,436
11000,436,12000,436,11000,436
12000,436,12000,436,12000,436
12000,436,13000,436,12000,436
13000,435,13000,436,13000,436
14000,435,14000,436,14000,436
14000,436,14000,436,14000,436
15000,436,15000,436,15000,436
15000,436,16000,436,15000,436
16000,436,16000,436,16000,435
17000,435,17000,436,16000,435
17000,435,17000,436,17000,435
18000,435,18000,436,18000,436
18000,435,18000,436,18000,436
19000,436,19000,435,19000,436
19000,435,20000,435,19000,436
20000,435,20000,436,20000,436
21000,435,21000,435,21000,436
21000,435,21000,436,21000,436
22000,435,22000,436,22000,436
22000,435,23000,436,22000,436
23000,435,23000,436,23000,436
23000,435,24000,436,23000,436
24000,435,24000,436,24000,436
25000,436,25000,436,25000,436
25000,436,26000,436,25000,436
26000,436,26000,436,26000,436
26000,436,27000,436,26000,436
27000,436,27000,436,27000,436
28000,436,28000,436,28000,436
28000,436,28000,436,28000,436
29000,436,29000,436,29000,436
29000,436,30000,436,29000,436
30000,436,30000,436,30000,436
30000,436,31000,435,30000,436
31000,436,31000,435,31000,436
32000,436,32000,436,32000,436
32000,436,32000,436,32000,436
33000,436,33000,436,33000,436
33000,436,34000,436,33000,436
34000,436,34000,436,34000,436
35000,436,35000,436,34000,436
35000,436,35000,436,35000,435
36000,436,36000,436,36000,435
36000,436,36000,436,36000,435
37000,436,37000,436,37000,436
37000,436,38000,436,37000,436
38000,436,38000,436,38000,436
39000,436,39000,436,39000,436
39000,436,39000,435,39000,436
40000,436,40000,436,40000,436
40000,436,41000,436,40000,436
41000,436,41000,436,41000,436
42000,436,42000,436,41000,436
42000,436,42000,436,42000,436
43000,436,43000,436,43000,436
43000,436,44000,436,43000,436
44000,436,44000,436,44000,436
44000,436,45000,436,44000,436
45000,436,45000,436,45000,436
46000,436,46000,436,46000,436
46000,436,46000,436,46000,436
47000,435,47000,436,47000,436
47000,435,48000,436,47000,436
48000,436,48000,436,48000,436
49000,436,49000,436,49000,436
49000,436,49000,436,49000,436
50000,436,50000,436,50000,436
50000,436,51000,436,50000,436
51000,436,51000,436,51000,436
51000,436,52000,436,51000,436
52000,436,52000,436,52000,436
53000,436,53000,436,53000,436
53000,436,53000,436,53000,436
54000,436,54000,436,54000,436
54000,436,55000,436,54000,436
55000,436,55000,436,55000,436
56000,436,56000,436,55000,436
56000,436,56000,436,56000,436
57000,436,57000,436,57000,436
57000,436,57000,436,57000,436
58000,436,58000,436,58000,436
58000,436,59000,436,58000,436
59000,435,59000,436,59000,436
60000,436,60000,436,60000,436
60000,436,60000,436,60000,436
61000,436,61000,436,61000,436
61000,436,62000,436,61000,436
62000,436,62000,436,62000,436
62000,436,63000,436,62000,436
63000,436,63000,436,63000,436
64000,436,64000,436,64000,436
64000,436,64000,436,64000,436
65000,436,65000,435,65000,435
65000,436,66000,435,65000,435
66000,436,66000,436,66000,436
67000,436,67000,436,67000,436
67000,436,67000,436,67000,436
68000,436,68000,436,68000,436
68000,436,69000,436,68000,436
69000,436,69000,436,69000,436
69000,436,70000,436,69000,436
70000,436,70000,436,70000,436
71000,436,71000,436,71000,436
71000,436,71000,436,71000,436
72000,436,72000,436,72000,436
72000,436,73000,436,72000,436
73000,436,73000,436,73000,436
74000,436,74000,436,73000,436
74000,436,74000,436,74000,436
75000,436,75000,436,75000,436
75000,436,75000,436,75000,436
76000,435,76000,436,76000,436
76000,435,77000,436,76000,436
77000,436,77000,436,77000,436
78000,436,78000,436,78000,436
78000,436,78000,436,78000,436
79000,436,79000,436,79000,437
79000,436,80000,436,79000,436
80000,436,80000,436,80000,436
81000,436,81000,436,80000,436
81000,436,81000,436,81000,436
82000,436,82000,436,82000,436
82000,436,83000,436,82000,436
83000,436,83000,436,83000,436
83000,436,84000,436,83000,436
84000,436,84000,436,84000,435
85000,436,85000,436,84000,436
85000,436,85000,436,85000,436
86000,436,86000,436,86000,436
86000,436,87000,436,86000,436
87000,436,87000,436,87000,436
87000,436,88000,436,87000,436
88000,436,88000,436,88000,436
89000,436,89000,436,89000,436
89000,436,90000,436,89000,436
90000,436,90000,435,90000,436
90000,436,91000,435,90000,436
91000,436,91000,436,91000,436
92000,436,92000,436,91000,436
92000,436,92000,436,92000,436
93000,436,93000,436,93000,436
93000,436,94000,436,93000,436
94000,436,94000,436,94000,436
94000,436,95000,436,94000,436
95000,436,95000,436,95000,436
96000,436,96000,436,96000,436
96000,436,96000,436,96000,436
97000,436,97000,436,97000,436
97000,436,98000,436,97000,436
98000,436,98000,436,98000,436
99000,436,99000,436,98000,436
99000,436,99000,436,99000,436
100000,436,100000,436,100000,436
100000,436,101000,436,100000,436
101000,436,101000,436,101000,436
101000,436,102000,436,101000,436
102000,436,102000,436,102000,436
103000,436,103000,436,102000,435
103000,436,103000,436,103000,435
104000,436,104000,436,104000,436
104000,436,105000,436,104000,436
105000,436,105000,436,105000,436
106000,436,106000,436,105000,436
106000,436,106000,436,106000,436
107000,436,107000,436,107000,436
107000,436,108000,436,107000,436
108000,436,108000,436,108000,436
108000,436,109000,436,108000,436
109000,436,109000,436,109000,436
110000,436,110000,436,110000,436
110000,436,110000,436,110000,436
111000,436,111000,436,111000,436
111000,436,112000,436,111000,436
112000,436,112000,436,112000,436
112000,436,113000,436,112000,436
113000,436,113000,436,113000,436
114000,437,114000,436,114000,436
114000,437,115000,436,114000,436
115000,436,115000,436,115000,436
115000,436,116000,436,115000,436
116000,436,116000,436,116000,436
117000,436,117000,436,116000,436
117000,436,117000,436,117000,435
118000,436,118000,436,118000,435
118000,436,119000,436,118000,436
119000,436,119000,436,119000,436
119000,436,120000,436,119000,436
120000,436,120000,436,120000,436
121000,436,121000,436,121000,436
121000,436,121000,436,121000,436
122000,436,122000,436,122000,436
122000,436,123000,436,122000,436
123000,436,,,123000,436
