time0,amp0,time1,amp1,time2,amp2
0,401,0,401,0,401
0,429,0,434,0,435
1000,431,1000,434,1000,435
1000,435,2000,434,2000,435
2000,435,2000,434,2000,435
3000,435,3000,435,3000,435
3000,435,3000,435,3000,435
4000,435,4000,435,4000,435
4000,435,5000,435,5000,435
5000,435,5000,435,5000,435
6000,435,6000,435,6000,435
6000,435,6000,435,6000,435
7000,435,7000,435,7000,435
7000,435,7000,435,7000,435
8000,435,8000,435,8000,435
9000,435,9000,435,9000,435
9000,435,9000,435,9000,435
10000,435,10000,435,10000,435
10000,435,10000,435,10000,435
11000,435,11000,435,11000,436
11000,435,12000,435,12000,436
12000,435,12000,435,12000,436
13000,435,13000,435,13000,435
13000,435,13000,435,13000,435
14000,435,14000,435,14000,435
14000,435,14000,435,15000,435
15000,434,15000,435,15000,435
15000,434,16000,435,16000,435
16000,435,16000,435,16000,435
17000,435,17000,435,17000,435
17000,435,17000,435,17000,435
18000,435,18000,435,18000,435
18000,435,19000,434,18000,435
19000,435,19000,435,19000,435
19000,435,20000,435,20000,435
20000,435,20000,435,20000,435
21000,435,21000,435,21000,436
21000,435,22000,435,21000,436
22000,435,22000,435,22000,435
22000,435,23000,435,23000,435
23000,435,23000,435,23000,436
23000,435,24000,435,24000,435
24000,435,24000,435,24000,435
25000,435,25000,435,25000,435
25000,435,26000,435,25000,435
26000,435,26000,435,26000,435
26000,435,27000,435,27000,435
27000,435,27000,435,27000,435
28000,435,28000,435,28000,435
28000,435,28000,435,28000,435
29000,435,29000,435,29000,435
29000,435,30000,435,30000,436
30000,435,30000,435,30000,436
31000,435,31000,435,31000,436
31000,435,31000,435,31000,436
32000,435,32000,435,32000,436
32000,435,33000,435,32000,436
33000,435,33000,435,33000,435
33000,435,34000,435,34000,435
34000,435,34000,435,34000,435
35000,435,35000,435,35000,436
35000,435,35000,435,35000,436
36000,435,36000,435,36000,436
36000,435,37000,435,37000,436
37000,435,37000,435,37000,435
38000,435,38000,435,38000,435
38000,434,38000,435,38000,435
39000,434,39000,435,39000,435
39000,435,40000,435,40000,435
40000,435,40000,435,40000,435
40000,435,41000,435,41000,435
41000,435,41000,435,41000,435
42000,435,42000,435,42000,435
42000,435,42000,435,42000,435
43000,435,43000,435,43000,436
43000,436,44000,435,44000,435
44000,435,44000,435,44000,435
44000,435,45000,435,45000,435
45000,435,45000,435,45000,435
46000,435,46000,435,46000,435
46000,435,47000,435,46000,435
47000,435,47000,435,47000,435
47000,435,48000,435,48000,435
48000,435,48000,435,48000,435
49000,435,49000,435,49000,435
49000,435,49000,435,49000,435
50000,435,50000,435,50000,435
50000,435,51000,435,50000,435
51000,435,51000,434,51000,435
51000,435,52000,434,52000,435
52000,435,52000,435,52000,435
53000,435,53000,435,53000,435
53000,435,53000,435,53000,435
54000,436,54000,435,54000,435
54000,435,55000,435,55000,435
55000,435,55000,435,55000,435
56000,435,56000,435,56000,435
56000,435,56000,435,56000,435
57000,435,57000,435,57000,435
57000,435,58000,435,57000,435
58000,435,58000,435,58000,435
59000,435,59000,435,59000,435
59000,435,59000,435,59000,435
60000,435,60000,435,60000,435
60000,435,60000,435,60000,436
61000,435,61000,435,61000,436
61000,436,62000,435,62000,436
62000,436,62000,435,62000,436
63000,436,63000,435,63000,436
63000,436,63000,435,63000,436
64000,435,64000,435,64000,436
64000,435,65000,435,65000,436
65000,435,65000,435,65000,436
65000,435,66000,435,66000,435
66000,435,66000,435,66000,435
67000,435,67000,435,67000,436
67000,435,67000,435,67000,435
68000,435,68000,435,68000,435
68000,436,69000,435,68000,436
69000,436,69000,435,69000,435
70000,436,70000,435,70000,435
70000,436,70000,435,70000,435
71000,435,71000,435,71000,435
71000,435,72000,435,71000,435
72000,435,72000,435,72000,435
72000,435,73000,435,73000,435
73000,435,73000,435,73000,435
74000,435,74000,435,74000,435
