time0,amp0,time1,amp1,time2,amp2
0,400.6,0,400.9,0,400.9
0,427.5,0,428.0,0,428.1
1000,427.6,1000,428.0,1000,428.1
1000,427.7,2000,428.0,1000,428.1
2000,427.7,2000,428.0,2000,428.1
3000,427.7,3000,428.0,3000,428.2
3000,427.7,3000,428.0,3000,428.2
4000,427.7,4000,428.0,4000,428.2
4000,427.8,4000,428.0,4000,428.1
5000,427.7,5000,428.0,5000,428.1
6000,427.7,6000,427.9,6000,428.1
6000,427.7,6000,427.9,6000,428.1
7000,427.7,7000,428.0,7000,428.2
7000,427.8,7000,428.1,7000,428.2
8000,427.7,8000,428.0,8000,428.2
9000,427.7,9000,428.0,9000,428.2
9000,427.7,9000,428.0,9000,428.3
10000,427.7,10000,428.1,10000,428.3
11000,427.8,11000,428.0,10000,428.3
11000,427.7,11000,428.0,11000,428.3
12000,427.7,12000,428.0,11000,428.3
12000,427.7,12000,428.0,12000,428.3
13000,427.7,13000,428.1,13000,428.3
14000,427.9,13000,428.1,13000,428.4
14000,427.9,14000,428.1,14000,428.4
15000,427.9,15000,428.1,14000,428.4
15000,427.8,15000,428.1,15000,428.3
16000,427.8,16000,428.0,15000,428.3
17000,427.8,16000,428.1,16000,428.3
17000,427.9,17000,428.1,17000,428.3
18000,427.8,18000,428.1,17000,428.4
18000,427.8,18000,428.1,18000,428.4
19000,427.8,19000,428.1,18000,428.3
20000,427.8,19000,428.0,19000,428.3
20000,427.7,20000,428.1,20000,428.3
21000,427.8,21000,428.1,20000,428.4
21000,427.8,21000,428.1,21000,428.4
22000,427.8,22000,428.1,21000,428.4
23000,427.8,22000,428.1,22000,428.3
23000,427.8,23000,428.1,23000,428.3
24000,427.8,24000,428.1,23000,428.3
24000,427.8,24000,428.1,24000,428.3
25000,427.9,25000,428.1,24000,428.3
25000,427.9,25000,428.1,25000,428.3
26000,427.9,26000,428.1,26000,428.4
27000,427.9,27000,428.1,26000,428.4
27000,427.9,27000,428.1,27000,428.5
28000,427.9,28000,428.1,27000,428.4
28000,427.9,28000,428.1,28000,428.3
29000,427.8,29000,428.1,29000,428.4
30000,427.8,30000,428.1,29000,428.4
30000,427.8,30000,428.1,30000,428.4
31000,427.9,31000,428.0,30000,428.3
31000,427.9,31000,428.0,31000,428.3
32000,427.9,32000,428.0,32000,428.3
33000,427.9,33000,428.0,32000,428.3
33000,427.9,33000,428.0,33000,428.3
34000,427.9,34000,428.0,33000,428.3
34000,427.8,34000,428.0,34000,428.3
35000,427.8,35000,428.0,34000,428.3
35000,427.8,36000,428.0,35000,428.3
36000,427.8,36000,428.1,36000,428.3
37000,427.8,37000,428.0,36000,428.3
37000,427.7,37000,428.0,37000,428.3
38000,427.9,38000,428.0,37000,428.3
38000,428.0,39000,428.1,38000,428.3
39000,428.0,39000,428.1,39000,428.4
40000,427.9,40000,428.1,39000,428.4
40000,427.8,40000,428.0,40000,428.4
41000,427.8,41000,428.0,40000,428.4
41000,427.9,42000,428.0,41000,428.4
42000,427.9,42000,428.1,42000,428.3
43000,427.8,43000,428.1,42000,428.4
43000,427.8,43000,428.1,43000,428.4
44000,427.8,44000,428.1,43000,428.4
44000,427.8,44000,428.1,44000,428.4
45000,427.9,45000,428.1,45000,428.4
46000,427.9,46000,428.1,45000,428.4
46000,427.9,46000,428.1,46000,428.5
47000,427.8,47000,428.1,46000,428.4
47000,427.8,47000,428.1,47000,428.5
48000,427.8,48000,428.1,47000,428.4
49000,427.8,49000,428.1,48000,428.3
49000,427.8,49000,428.0,49000,428.3
50000,427.9,50000,428.2,49000,428.3
51000,427.9,50000,428.3,50000,428.4
51000,427.9,51000,428.2,50000,428.4
52000,427.9,52000,428.2,51000,428.4
52000,427.9,52000,428.1,52000,428.3
53000,427.9,53000,428.1,52000,428.3
54000,428.0,53000,428.1,53000,428.4
54000,428.0,54000,428.1,53000,428.4
55000,427.9,55000,428.1,54000,428.4
55000,427.9,55000,428.1,55000,428.4
56000,428.0,56000,428.1,55000,428.4
57000,428.0,56000,428.1,56000,428.3
57000,428.0,57000,428.1,56000,428.4
58000,427.9,58000,428.1,57000,428.4
58000,427.9,58000,428.1,57000,428.5
59000,427.9,59000,428.0,58000,428.4
60000,427.9,59000,428.0,59000,428.3
60000,427.9,60000,428.0,59000,427.3
61000,427.9,61000,427.9,60000,428.4
61000,427.9,61000,428.0,60000,428.4
62000,427.9,62000,428.1,61000,428.4
62000,428.0,63000,428.1,62000,428.3
63000,428.0,63000,428.2,62000,428.4
64000,428.0,64000,428.2,63000,428.5
64000,428.0,64000,428.2,63000,428.5
65000,428.0,65000,428.1,64000,428.5
65000,428.1,66000,428.2,65000,428.5
66000,428.0,66000,428.2,65000,428.5
67000,427.9,67000,428.1,66000,428.5
67000,428.0,67000,428.1,66000,428.5
68000,427.9,68000,428.1,67000,428.5
68000,427.9,68000,428.1,68000,428.4
69000,427.9,69000,428.1,68000,428.4
69000,427.9,70000,428.1,69000,428.4
70000,427.8,70000,428.1,69000,428.4
71000,427.8,71000,428.1,70000,428.4
71000,427.8,72000,428.1,70000,428.4
72000,428.0,72000,428.1,71000,428.4
72000,427.9,73000,428.1,72000,428.4
73000,427.9,73000,428.1,72000,428.4
74000,427.9,74000,428.1,73000,428.4
74000,427.9,75000,428.1,74000,428.4
75000,428.0,75000,428.1,74000,428.3
75000,428.0,76000,428.1,75000,428.4
76000,428.0,76000,428.1,75000,428.5
77000,428.0,77000,428.1,76000,428.5
77000,428.0,77000,428.1,76000,428.5
78000,428.0,78000,428.1,77000,428.4
78000,428.0,78000,428.1,78000,428.4
79000,427.9,79000,428.1,78000,428.3
80000,427.9,80000,428.1,79000,428.3
80000,427.9,80000,428.0,79000,428.3
81000,427.9,81000,428.1,80000,428.3
81000,427.9,81000,428.1,81000,428.3
82000,427.8,82000,428.1,81000,428.3
83000,427.9,83000,428.0,82000,428.3
83000,428.0,83000,428.1,82000,428.3
84000,428.0,84000,428.1,83000,428.3
84000,428.0,84000,428.1,83000,428.3
85000,427.9,85000,428.1,84000,428.2
85000,427.9,86000,428.1,85000,428.3
86000,427.9,86000,428.1,85000,428.3
87000,427.9,87000,428.1,86000,428.2
87000,428.0,87000,428.1,87000,428.2
88000,428.0,88000,428.2,87000,428.3
89000,428.0,88000,428.1,88000,428.3
89000,428.0,89000,428.1,88000,428.3
90000,428.0,90000,428.0,89000,428.3
90000,428.0,90000,428.1,90000,428.3
91000,428.0,91000,428.1,90000,428.3
91000,428.0,91000,428.1,91000,428.3
92000,428.0,92000,428.1,91000,428.3
93000,428.0,92000,428.1,92000,428.3
93000,428.0,93000,428.1,92000,428.2
94000,428.0,94000,428.1,93000,428.3
95000,426.9,94000,428.1,94000,428.3
95000,428.0,95000,428.1,94000,428.3
96000,428.0,95000,428.0,95000,428.2
96000,428.0,96000,428.0,95000,428.3
97000,428.0,97000,428.0,96000,428.2
98000,427.9,97000,428.0,97000,428.2
98000,427.9,98000,428.0,97000,428.2
99000,427.9,98000,428.1,98000,428.2
99000,427.9,99000,428.1,99000,428.2
100000,428.0,99000,428.1,99000,428.1
101000,428.0,100000,428.2,100000,428.2
101000,428.0,101000,428.1,100000,428.3
102000,428.0,101000,428.1,101000,428.4
102000,428.0,102000,428.1,101000,428.4
103000,428.0,102000,428.1,102000,428.3
103000,428.0,103000,428.1,103000,428.3
104000,428.0,104000,428.1,103000,428.4
105000,427.9,104000,428.1,104000,428.4
105000,427.9,105000,428.1,104000,428.3
106000,428.0,105000,428.1,105000,428.3
106000,428.0,106000,428.2,106000,428.3
107000,428.0,107000,428.2,106000,428.3
108000,428.0,107000,428.1,107000,428.3
108000,427.9,108000,428.1,107000,428.4
109000,427.9,108000,428.1,108000,428.4
109000,427.9,109000,428.1,109000,428.3
110000,427.9,110000,428.1,109000,428.3
111000,427.9,110000,428.1,110000,428.4
111000,427.9,111000,428.1,110000,428.3
112000,428.0,111000,428.1,111000,428.2
112000,428.1,112000,428.1,112000,428.3
113000,428.0,112000,428.1,112000,428.3
113000,428.0,113000,428.1,113000,428.4
114000,427.9,114000,428.1,113000,428.4
115000,428.0,114000,428.2,114000,428.4
115000,428.0,115000,428.2,115000,428.4
116000,427.9,115000,428.1,115000,428.4
116000,427.9,116000,428.1,116000,428.4
117000,427.9,117000,428.1,116000,428.2
118000,427.9,117000,428.1,117000,428.2
118000,428.0,118000,428.1,118000,428.2
119000,428.0,118000,428.1,118000,428.3
119000,428.0,119000,428.2,119000,428.3
120000,427.9,120000,427.9,119000,428.1
120000,428.0,120000,427.8,120000,428.0
121000,428.0,121000,427.9,121000,428.2
122000,427.9,121000,428.1,121000,428.3
122000,427.9,122000,428.1,122000,428.2
123000,427.9,122000,428.1,122000,428.1
,,123000,428.1,123000,428.1
